Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"2,700,000",Cairo,New Cairo - El Tagamoa,3,2.0,200,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Tura,2,2.0,210,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Helwan,3,2.0,200,No,Apartment,Cash,Ready To Move
"16,500,000",Cairo,Maadi,4,5.0,575,No,Apartment,Cash,Ready To Move
"2,750,000",Cairo,New Cairo - El Tagamoa,3,2.0,200,No,Apartment,Cash,Ready To Move
"10,500,000",Cairo,New Cairo - El Tagamoa,4,3.0,230,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Rehab City,3,2.0,120,No,Apartment,Cash,Ready To Move
"2,400,000",Cairo,New Cairo - El Tagamoa,3,1.0,220,No,Apartment,Cash,Ready To Move
"2,750,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,2,1.0,78,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,New Cairo - El Tagamoa,2,1.0,78,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,153 SQM,21icon/categories/area153 SQM,,icon/categories/area153,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,220 SQM,43icon/categories/area220 SQM,,icon/categories/area220,No,Apartment,Cash,Ready To Move
"2,800,000Negotiable",,190 SQM,32icon/categories/area190 SQM,,icon/categories/area190,No,Apartment,Cash,Ready To Move
"5,200,000",Cairo,Rehab City,3,3.0,145,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,400,000",Cairo,Maadi,3,3.0,205,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,126,No,Apartment,Cash,Ready To Move
"6,600,000",Cairo,New Cairo - El Tagamoa,2,2.0,169,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Shorouk City,3,2.0,163,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,Rehab City,3,3.0,183,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Heliopolis,3,3.0,360,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Nasr City,4,1.0,170,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,140 SQM,32icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Rehab City,2,2.0,119,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,New Cairo - El Tagamoa,3,2.0,116,No,Apartment,Cash,Ready To Move
"1,850,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"520,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"7,200,000Negotiable",,157 SQM,22icon/categories/area157 SQM,,icon/categories/area157,No,Apartment,Cash,Ready To Move
"1,700,000Negotiable",,130 SQM,33icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"950,000Negotiable",,125 SQM,21icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"275,000Negotiable",,55 SQM,21icon/categories/area55 SQM,,icon/categories/area55,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,2,1.0,96,No,Apartment,Cash,Ready To Move
"1,750,000Negotiable",,159 SQM,32icon/categories/area159 SQM,,icon/categories/area159,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Nasr City,3,3.0,240,No,Apartment,Cash,Ready To Move
"400,000",Cairo,Shubra,4,1.0,150,No,Apartment,Cash,Ready To Move
"5,500,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"950,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"1,350,000",Cairo,Maadi,2,2.0,126,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Nasr City,4,1.0,170,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,140 SQM,32icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Rehab City,2,2.0,119,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,New Cairo - El Tagamoa,3,2.0,116,No,Apartment,Cash,Ready To Move
"1,850,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"520,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"7,200,000Negotiable",,157 SQM,22icon/categories/area157 SQM,,icon/categories/area157,No,Apartment,Cash,Ready To Move
"1,700,000Negotiable",,130 SQM,33icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"950,000Negotiable",,125 SQM,21icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"275,000Negotiable",,55 SQM,21icon/categories/area55 SQM,,icon/categories/area55,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,2,1.0,96,No,Apartment,Cash,Ready To Move
"1,750,000Negotiable",,159 SQM,32icon/categories/area159 SQM,,icon/categories/area159,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Nasr City,3,3.0,240,No,Apartment,Cash,Ready To Move
"400,000",Cairo,Shubra,4,1.0,150,No,Apartment,Cash,Ready To Move
"5,500,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"950,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"1,350,000",Cairo,Maadi,2,2.0,126,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,146,No,Apartment,Cash,Ready To Move
"375,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"4,800,000",Cairo,Madinaty,3,3.0,172,No,Apartment,Cash,Ready To Move
"3,300,000Negotiable",,110 SQM,22icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,150,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,2,1.0,67,No,Apartment,Cash,Ready To Move
"1,200,000",Cairo,Mokattam,2,1.0,110,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,Madinaty,3,2.0,103,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,New Cairo - El Tagamoa,3,3.0,150,No,Apartment,Cash,Ready To Move
"775,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,74 SQM,21icon/categories/area74 SQM,,icon/categories/area74,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,140 SQM,32icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Heliopolis,2,1.0,200,No,Apartment,Cash,Ready To Move
"5,500,000Negotiable",,350 SQM,44icon/categories/area350 SQM,,icon/categories/area350,No,Apartment,Cash,Ready To Move
"3,900,000",Cairo,Zahraa Al Maadi,4,3.0,350,No,Apartment,Cash,Ready To Move
"880,000Negotiable",,96 SQM,31icon/categories/area96 SQM,,icon/categories/area96,No,Apartment,Cash,Ready To Move
"1,500,000Negotiable",,138 SQM,22icon/categories/area138 SQM,,icon/categories/area138,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Heliopolis,2,1.0,145,No,Apartment,Cash,Ready To Move
"6,200,000",Cairo,Mokattam,2,3.0,164,No,Apartment,Cash,Ready To Move
"3,800,000",Cairo,New Cairo - El Tagamoa,2,2.0,132,No,Apartment,Cash,Ready To Move
"4,920,000",Cairo,New Cairo - El Tagamoa,2,3.0,164,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,2.0,182,No,Apartment,Cash,Ready To Move
"3,400,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"3,843,750",Cairo,New Cairo - El Tagamoa,2,2.0,146,No,Apartment,Cash,Ready To Move
"530,000",Cairo,New Capital City,1,1.0,60,No,Apartment,Cash,Ready To Move
"3,800,000",Cairo,Nasr City,4,2.0,270,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,89,No,Apartment,Cash,Ready To Move
"1,750,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"4,300,000",Cairo,New Cairo - El Tagamoa,3,3.0,210,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,Maadi,3,3.0,230,No,Apartment,Cash,Ready To Move
"2,550,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"7,500,000",Cairo,Maadi,4,3.0,260,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,209 SQM,33icon/categories/area209 SQM,,icon/categories/area209,No,Apartment,Cash,Ready To Move
"4,000,001",Cairo,New Cairo - El Tagamoa,2,2.0,135,No,Apartment,Cash,Ready To Move
"3,850,000",Cairo,New Cairo - El Tagamoa,2,2.0,135,No,Apartment,Cash,Ready To Move
"3,900,001",Cairo,New Cairo - El Tagamoa,2,2.0,134,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,New Cairo - El Tagamoa,2,3.0,143,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,200 SQM,33icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,2,1.0,65,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,144,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Sheraton,3,2.0,120,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,New Cairo - El Tagamoa,2,2.0,112,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Obour City,3,3.0,215,No,Apartment,Cash,Ready To Move
"3,600,000Negotiable",,113 SQM,33icon/categories/area113 SQM,,icon/categories/area113,No,Apartment,Cash,Ready To Move
"2,050,000",Cairo,Madinaty,2,1.0,89,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,New Cairo - El Tagamoa,2,1.0,105,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,New Cairo - El Tagamoa,4,3.0,300,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Maadi,3,2.0,220,No,Apartment,Cash,Ready To Move
"470,000",Cairo,Badr City,2,1.0,70,No,Apartment,Cash,Ready To Move
"920,000Negotiable",,112.5 SQM,22icon/categories/area112.5 SQM,,icon/categories/area112.5,No,Apartment,Cash,Ready To Move
"850,000",Cairo,Downtown Cairo,3,1.0,170,No,Apartment,Cash,Ready To Move
"3,900,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,89 SQM,22icon/categories/area89 SQM,,icon/categories/area89,No,Apartment,Cash,Ready To Move
"450,000",Cairo,Downtown Cairo,3,2.0,130,No,Apartment,Cash,Ready To Move
"4,800,000",Cairo,Nasr City,3,3.0,205,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Zahraa Al Maadi,2,2.0,140,No,Apartment,Cash,Ready To Move
"2,350,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"3,150,000",Cairo,New Cairo - El Tagamoa,3,3.0,195,No,Apartment,Cash,Ready To Move
"4,500,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,196 SQM,33icon/categories/area196 SQM,,icon/categories/area196,No,Apartment,Cash,Ready To Move
"1,350,000Negotiable",,165 SQM,22icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"8,500,000Negotiable",,210 SQM,33icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"7,000,000",Cairo,Zamalek,3,4.0,300,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Rehab City,3,2.0,108,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Rehab City,2,1.0,99,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,350,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Mokattam,2,3.0,145,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,2,2.0,140,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3.0,240,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Maadi,3,2.0,172,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,1,1.0,65,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Shubra,3,2.0,250,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Madinaty,3,2.0,200,No,Apartment,Cash,Ready To Move
"4,450,000Negotiable",,171 SQM,32icon/categories/area171 SQM,,icon/categories/area171,No,Apartment,Cash,Ready To Move
"6,400,000",Cairo,Heliopolis,2,3.0,286,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Nasr City,4,2.0,225,No,Apartment,Cash,Ready To Move
"3,750,000",Cairo,Nasr City,6,4.0,450,No,Apartment,Cash,Ready To Move
"4,100,000Negotiable",,360 SQM,43icon/categories/area360 SQM,,icon/categories/area360,No,Apartment,Cash,Ready To Move
"2,750,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,140,No,Apartment,Cash,Ready To Move
"90,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"2,850,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,82 SQM,21icon/categories/area82 SQM,,icon/categories/area82,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,3,1.0,143,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,146 SQM,32icon/categories/area146 SQM,,icon/categories/area146,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"3,650,000",Cairo,New Cairo - El Tagamoa,2,2.0,156,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,New Cairo - El Tagamoa,3,2.0,130,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,2,1.0,86,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,New Cairo - El Tagamoa,3,2.0,245,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,160 SQM,31icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Shorouk City,3,2.0,200,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,85 SQM,21icon/categories/area85 SQM,,icon/categories/area85,No,Apartment,Cash,Ready To Move
"8,000,000",Cairo,Madinaty,3,3.0,200,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Maadi,1,1.0,135,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,123 SQM,22icon/categories/area123 SQM,,icon/categories/area123,No,Apartment,Cash,Ready To Move
"4,200,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"3,950,000",Cairo,Madinaty,3,3.0,175,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,New Cairo - El Tagamoa,3,4.0,250,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Nasr City,2,2.0,125,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,200 SQM,33icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,New Cairo - El Tagamoa,3,2.0,187,No,Apartment,Cash,Ready To Move
"1,150,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,65 SQM,21icon/categories/area65 SQM,,icon/categories/area65,No,Apartment,Cash,Ready To Move
"2,850,000Negotiable",,116 SQM,32icon/categories/area116 SQM,,icon/categories/area116,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"3,250,000Negotiable",,420 SQM,44icon/categories/area420 SQM,,icon/categories/area420,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,3,2.0,190,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3.0,160,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,89 SQM,22icon/categories/area89 SQM,,icon/categories/area89,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Mokattam,2,2.0,120,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,2.0,140,No,Apartment,Cash,Ready To Move
"2,760,000",Cairo,New Cairo - El Tagamoa,2,2.0,165,No,Apartment,Cash,Ready To Move
"3,690,000",Cairo,New Cairo - El Tagamoa,3,2.0,210,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,65,No,Apartment,Cash,Ready To Move
"1,200,000",Cairo,Nasr City,2,2.0,120,No,Apartment,Cash,Ready To Move
"30,000Negotiable",,175 SQM,43icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Nasr City,2,2.0,150,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"3,950,000",Cairo,New Cairo - El Tagamoa,2,2.0,134,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,3,2.0,160,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Heliopolis,2,1.0,150,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Nasr City,3,1.0,120,No,Apartment,Cash,Ready To Move
"2,750,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,145,No,Apartment,Cash,Ready To Move
"600,000",Cairo,Badr City,3,2.0,100,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,New Cairo - El Tagamoa,3,2.0,170,No,Apartment,Cash,Ready To Move
"2,400,000Negotiable",,123 SQM,32icon/categories/area123 SQM,,icon/categories/area123,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Shorouk City,3,2.0,163,No,Apartment,Cash,Ready To Move
"3,700,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"6,500,000Negotiable",,300 SQM,33icon/categories/area300 SQM,,icon/categories/area300,No,Apartment,Cash,Ready To Move
"3,190,000",Cairo,Zahraa Al Maadi,4,3.0,275,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,2.0,140,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,202 SQM,22icon/categories/area202 SQM,,icon/categories/area202,No,Apartment,Cash,Ready To Move
"850,000",Cairo,Mokattam,2,1.0,130,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,400 SQM,43icon/categories/area400 SQM,,icon/categories/area400,No,Apartment,Cash,Ready To Move
